Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Steffen Kampeter,10.03.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Verbändegespräch Wirtschaftliche Auswirkungen des Coronavirus)
Ronald Pofalla,10.03.2015,Bundeskanzleramt,"BM Peter Altmaier (Allgemeine Themen, u. a. wirtschaftliche Entwicklung des DB-Konzerns)"
Christian Hirte,09.12.2020,Kulturstaatsministerin,StM’in Monika Grütters (Bürgerdialog/Kultur vor Ort (digital))
Ronald Pofalla,09.12.2020,Wirtschaftsministerium,PSt’in Elisabeth Winkelmeyer-Becker (Aufsichtsratssitzung DB AG)
Katherina Reiche,09.12.2019,Verkehrsministerium,"St Michael Güntner (Mobilität in Städten, sauberer Verkehr, 450 Mhz)"
Ronald Pofalla,09.11.2018,Wirtschaftsministerium,"BM Peter Altmaier,"
Ronald Pofalla,09.11.2015,Gesundheitsministerium,St Lutz Stroppe (allgemeiner Austausch)
Eckart von Klaeden,09.10.2020,Verkehrsministerium,St’in Tamara Zieschang (allgemeiner Austausch)
Steffen Kampeter,09.09.2020,Entwicklungshilfeministerium,BM Gerd Müller (Sorgfaltspflichten in globalen Lieferketten)
Ronald Pofalla,09.09.2019,Finanzministerium,St Werner Gatzer (LufV)
Katherina Reiche,09.08.2018,Verkehrsministerium,St Guido Beermann (Daten kommunaler Unternehmen/Fuhrparks)
Katherina Reiche,09.07.2020,Wirtschaftsministerium,BM Peter Altmaier (Wasserstoffrat der BReg)
Eckart von Klaeden,09.06.2015,Entwicklungshilfeministerium,BM Gerd Müller (Teilnahme an Veranstaltung „Politischer Dialog im Haus Huth“)
Katherina Reiche,09.05.2018,Bundeskanzleramt,BM Helge Braun (Antrittsbesuch VKU)
Eckart von Klaeden,09.05.2018,Verkehrsministerium,BM Andreas Scheuer (Automobilwirtschaft)
Sigmar Gabriel,09.04.2020,Bundeskanzleramt,BK’in Angela Merkel (EU-Bankenabgabe)
Steffen Kampeter,09.04.2019,Wirtschaftsministerium,BM Peter Altmaier (Sitzung des BDA-Vizepräsidiums)
Ronald Pofalla,09.03.2020,Verkehrsministerium,St Michael Güntner (BHO-Anträge allgemein)
Eckart von Klaeden,09.03.2020,Wirtschaftsministerium,BM Peter Altmaier (Industriepolitik)
Steffen Kampeter,09.03.2018,Bundeskanzleramt,BK’in Angela Merkel (Münchner Spitzengespräch)
Ronald Pofalla,09.02.2021,Innenministerium,St Hans-Georg Engelke (Bundespolizeigesetz)
Steffen Kampeter,08.12.2020,Arbeitsministerium,St Björn Böhning (diverse Themen der Arbeits- und Sozialpolitik)
Eckart von Klaeden,08.11.2018,Verkehrsministerium,"BM Andreas Scheuer, St Guido Beermann (Spitzengespräch Automobilwirtschaft)"
Steffen Kampeter,08.08.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Lieferkettengesetz)
Hildegard Müller,08.06.2021,Wirtschaftsministerium,BM Peter Altmaier (Future Mobility Summit des Tagesspiegel)
Uwe Beckmeyer,08.06.2020,Justizministerium,PSt Christian Lange (Covid-19 Pandemie)
Katherina Reiche,08.05.2019,Wirtschaftsministerium,"PSt Thomas Bareiß, St Andreas Feicht (Kamingespräch zu CO2-Bepreisung im Wirtschaftsministerium)"
Katherina Reiche,08.05.2019,Entwicklungshilfeministerium,St Martin Jäger (Betreiberpartnerschaften in der EZ)
Steffen Kampeter,08.04.2021,Bundeskanzleramt,"BK’in Angela Merkel, BM Helge Braun (Telefonat zu Testpflicht in Unternehmen)"
Hildegard Müller,08.04.2021,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Steffen Kampeter,08.04.2021,Wirtschaftsministerium,BM Peter Altmaier (Corona)
Katherina Reiche,08.04.2019,Umweltministerium,PSt Florian Pronold (Gespräch zur DüngeVO mit Länderministern)
Sigmar Gabriel,08.01.2020,Finanzministerium,BM Olaf Scholz (Verschiedene Themen)
Ronald Pofalla,07.12.2016,Verteidigungsministerium,St Gerd Hoofe (Kooperation DB-Bw)
Katherina Reiche + Ole Schröder,07.11.2019,Bundeskanzleramt,BM Helge Braun (Mobilfunk)
Eckart von Klaeden,07.11.2019,Umweltministerium,BM’in Svenja Schulze (PtX (Power-to-X))
Ronald Pofalla,07.11.2019,Verkehrsministerium,"PSt Enak Ferlemann, St Michael Güntner (Mittelverwendung Eigenkapitalerhöhung 2020-2030)"
Ronald Pofalla,07.11.2018,Bildungsministerium,BM’in Anja Karliczek (Strukturwandel in Braunkohleregionen)
Ronald Pofalla,07.11.2018,Wirtschaftsministerium,PSt Oliver Wittke
Ronald Pofalla,07.11.2018,Wirtschaftsministerium,PSt Oliver Wittke (Teilnahme an Hintergrundgespräch im Rahmen des Deutsch-Russischen Rohstoff-Forums)
Ronald Pofalla,07.11.2014,Wirtschaftsministerium,BM Sigmar Gabriel
Steffen Kampeter,07.10.2020,Finanzministerium,St Jörg Kukies (Allgemeiner Austausch)
Philipp Rösler,07.10.2019,Bundeskanzleramt,BM Helge Braun (Sustainable Finance)
Ronald Pofalla,07.10.2018,Wirtschaftsministerium,BM Peter Altmaier (Eröffnungsveranstaltung Petersburger Dialog)
Maria Böhmer,07.09.2020,Verteidigungsministerium,BM‘in Annegret Kramp-Karrenbauer (Militärische Übungsflüge über UNESCO-Welterbe Mittleres Rheintal)
Steffen Kampeter,07.09.2019,Gesundheitsministerium,BM Jens Spahn (öffentliche Diskussionsrunde)
Karl-Theodor zu Guttenberg,07.09.2018,Gesundheitsministerium,BM Jens Spahn (Roundtable mit Familienunternehmen)
Ole Schröder,07.08.2019,Ernährungs- und Landwirtschaftsministerium,BM’in Julia Klöckner (450 MHz- Frequenzen und deren Nutzbarkeit für die ländlichen Räume)
Ronald Pofalla,07.07.2021,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (Petersburger Dialog)
Katherina Reiche,07.05.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Corona-Krise)
Maria Böhmer,07.05.2019,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Start-Stiftung)
Steffen Kampeter,07.05.2019,Wirtschaftsministerium,St Andreas Feicht (Kohlekommission)
Eckart von Klaeden,07.01.2020,Bundeskanzleramt,StM Hendrik Hoppenstedt (Automobilthemen)
Ole Schröder,07.01.2020,Finanzministerium,St Rolf Bösinger (Kampfmittelbeseitigung auf Helgoland)
Ronald Pofalla,06.12.2019,Auswärtiges Amt,StM‘in Michelle Müntefering (Deutschlandjahr Russland)
Ronald Pofalla,06.12.2018,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Bundesmittel Verkehrsträger Schiene)"
Katherina Reiche,06.11.2020,Bundeskanzleramt,BM Helge Braun (Nationaler Wasserstoffrat)
Ronald Pofalla,06.11.2018,Wirtschaftsministerium,"BM Peter Altmaier, (Industriestrompreise)"
Katherina Reiche,06.11.2018,Entwicklungshilfeministerium,PSt’in Maria Flachsbarth (Zusammenarbeit mit VKU)
Katherina Reiche,06.09.2018,Bildungsministerium,PSt Michael Meister (Kommunales)
Ronald Pofalla,06.08.2020,"Finanzministerium, Verkehrsministerium","BM Olaf Scholz, St Werner Gatzer, Pst Enak Ferlemann (Digitalisierung Schiene)"
Steffen Kampeter,06.07.2016,Bundeskanzleramt,BK’in Angela Merkel (Gespräch mit BDA-Präsidium)
Dirk Niebel,06.06.2019,Auswärtiges Amt,St’in Antje Leendertse (Antrittsbesuch von Hr. Niebel)
Ronald Pofalla,06.06.2019,Finanzministerium,St Werner Gatzer (LufV)
Ronald Pofalla,06.06.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Katherina Reiche,06.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Wirtschaftsgespräch der Konrad-Adenauer-Stiftung)
Ronald Pofalla,06.06.2018,Wirtschaftsministerium,BM Peter Altmaier (Wirtschaftsgespräch der Konrad-Adenauer-Stiftung)
Ronald Pofalla,06.06.2016,Bundeskanzleramt,StM Helge Braun (Landesgruppensitzung mit der Deutschen Bahn AG)
Eckart von Klaeden,06.05.2020,Wirtschaftsministerium,BM Peter Altmaier (Kaufprämie)
Ole Schröder,06.05.2019,Verteidigungsministerium,PSt Peter Tauber (Netzausbau und Frequenzversteigerungen)
Ronald Pofalla,06.04.2020,Verkehrsministerium,"BM Andreas Scheuer, PSt Steffen Bilger, St’in Tamara Zieschang (Corona)"
Ronald Pofalla,06.03.2017,Wirtschaftsministerium,BM’in Brigitte Zypries
Ronald Pofalla,06.03.2017,Wirtschaftsministerium,BM’in Brigitte Zypries (16. Petersburger Dialog 2017)
Ronald Pofalla,06.02.2017,Umweltministerium,BM’in Barbara Hendricks
Steffen Kampeter,06.-09.2016,Wirtschaftsministerium,BM Sigmar Gabriel (Reise nach Kuba)
Katherina Reiche,05.10.2016,Gesundheitsministerium,St Lutz Stroppe (Innovationsfonds)
Ronald Pofalla,05.09.2019,Finanzministerium,St Werner Gatzer (LufV)
Ronald Pofalla,05.08.2020,"Finanzministerium, Verkehrsministerium","St Werner Gatzer, St Michael Güntner (Haushalt)"
Katherina Reiche,05.08.2020,Wirtschaftsministerium,St Andreas Feicht (Innogy)
Ronald Pofalla,05.07.2021,Innenministerium,St Markus Kerber (Telefonat zum Petersburger Dialog)
Katherina Reiche,05.06.2020,Bildungsministerium,St Wolf-Dieter Lukas (Energieforschung)
Katherina Reiche,05.06.2019,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Arbeitsmarktchancen von Migrantinnen und Migranten)
Ronald Pofalla,05.06.2019,Bundeskanzleramt,BM Helge Braun (Stuttgart 21)
Ronald Pofalla,05.06.2014,Wirtschaftsministerium,BM Sigmar Gabriel
Katherina Reiche,05.05.2020,Justizministerium,St‘in Margaretha Sudhof (Corona-Lage aus Sicht der Energiewirtschaft und Zahlungsmoratorium)
Maria Böhmer,05.04.2019,Bildungsministerium,St Christian Luft (Bildung für nachhaltige Entwicklung)
Steffen Kampeter,05.04.2019,Bildungsministerium,St Christian Luft (BBiG-Novelle)
Eckart von Klaeden,05.03.2019,Finanzministerium,St Wolfgang Schmidt (Thema nicht nachgehalten)
Eckart von Klaeden,05.02.2020,Auswärtiges Amt,St’in Antje Leendertse (allgemeiner Austausch)
Uwe Beckmeyer,05.02.2020,Wirtschaftsministerium,St Andreas Feicht (energiepolitische Fragestellungen)
Eckart von Klaeden,05.02.2019,Finanzministerium,BM Olaf Scholz (Werksbesuch)
Hildegard Müller,04.12.2020,Wirtschaftsministerium,BM Peter Altmaier (u.a. EU Climate Target Plan und Corona)
Steffen Kampeter,04.11.2020,Bundeskanzleramt,"BK’in Angela Merkel, BM Helge Braun (Videokonferenz mit Mitgliedern des gemeinsamen Präsidiums von BDA und BDI -Themen: Wirtschaftliche Lage, Home-office, Lieferkettengesetz, Energie-und Klimapolitik)"
Steffen Kampeter,04.11.2020,Arbeitsministerium,St Björn Böhning (Lieferkettensorgfaltspflichtengesetz)
Hildegard Müller,04.11.2020,Wirtschaftsministerium,BM Peter Altmaier (Bündnis „Zukunft der Industrie“)
Hildegard Müller,04.11.2020,Wirtschaftsministerium,BM Peter Altmaier (Industriekonferenz 2020)
Steffen Kampeter,04.11.2020,Wirtschaftsministerium,BM Peter Altmaier (Bündnis „Zukunft der Industrie“)
Ronald Pofalla,04.11.2017,Umweltministerium,BM’in Barbara Hendricks
Ronald Pofalla,04.10.2018,Finanzministerium,St Werner Gatzer (Höhengleiche Kreuzungen)
Ronald Pofalla,04.10.2017,Umweltministerium,BM’in Barbara Hendricks
Steffen Kampeter,04.10.2016,Bundeskanzleramt,BK’in Angela Merkel
Steffen Kampeter,04.10.2016,Gesundheitsministerium,St Lutz Stroppe (allgemeiner Austausch)
Eckart von Klaeden,04.09.2020,Auswärtiges Amt,St’in Antje Leendertse (allgemeiner Austausch)
Ronald Pofalla,04.08.2020,Bundeskanzleramt,BM Helge Braun (Breitbandausbau)
Uwe Beckmeyer,04.08.2020,Finanzministerium,St Rolf Bösinger (Tabaksteuer)
Ronald Pofalla,04.07.2019,Bundeskanzleramt,BM Helge Braun (Breitband- und Mobilfunkversorgung)
Eckart von Klaeden,04.07.2019,Wirtschaftsministerium,"BM Peter Altmaier, PSt Thomas Bareiß (Strategiedialog Automobilwirtschaft Baden-Württemberg)"
Uwe Beckmeyer,04.06.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Energiepolitik)
Ronald Pofalla,04.06.2020,Wirtschaftsministerium,BM Peter Altmaier (Bahnprojekte und Kohleausstieg)
Karl-Theodor zu Guttenberg,04.06.2019,Wirtschaftsministerium,PSt Thomas Bareiß (Wirtschaftstag 2019 des Wirtschaftsrates der CDU)
Jan Mücke,04.02.2019,Bundeskanzleramt,StM Hendrik Hoppenstedt (Gespräch mit Vertretern der Tabakwirtschaft)
Hildegard Müller,03.12.2020,Wirtschaftsministerium,BM Peter Altmaier (Ladeinfrastruktur)
Ronald Pofalla,03.12.2018,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (Petersburger Dialog)
Katherina Reiche,03.12.2018,Wirtschaftsministerium,PSt Thomas Bareiß (Art. 36a EU-Strommarktrichtlinie)
Ronald Pofalla,03.11.2016,Justizministerium,BM Heiko MAuswärtiges Amts (Stiftung Deutsches Forum für Kriminalprävention)
Karl-Theodor zu Guttenberg,03.09.2019,Bundeskanzleramt,BK’in Angela Merkel
Hildegard Müller,03.07.2021,Finanzministerium,St Jörg Kukies (Petersberger Sommerdialog)
Ronald Pofalla,03.07.2020,Bundeskanzleramt,StM Hendrik Hoppenstedt (S-Bahn-Linie 21)
Ronald Pofalla,03.07.2020,Bundeskanzleramt,BM Helge Braun (Instandhaltungswerk Cottbus)
Maria Böhmer,03.07.2019,Auswärtiges Amt,St’in Antje Leendertse (Gespräch zum Thema UNESCO)
Steffen Kampeter,03.07.2019,Gesundheitsministerium,PSt’in Sabine Weiss (allgemeiner Austausch)
Steffen Kampeter,03.07.2019,Wirtschaftsministerium,St Ulrich Nußbaum (NAP)
Ronald Pofalla,03.07.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Steffen Kampeter,03.07.2018,Wirtschaftsministerium,BM Peter Altmaier (Abendessen mit dem BDA-Vizepräsidium)
Rainer Brüderle,03.07.2018,Gesundheitsministerium,BM Jens Spahn (Fachkräftemangel in der Pflege und pflegerische Versorgung)
Dirk Niebel,03.07.2015,Auswärtiges Amt,St Stephan Steinlein (Gespräch zu versch. Themen)
Steffen Kampeter,03.06.2021,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Verbänderunde zu Corona)
Steffen Kampeter,03.04.2019,Wirtschaftsministerium,PSt Thomas Bareiß (Vorstandssitzung Parlamentskreis Mittelstand)
Eckart von Klaeden,03.03.2021,Wirtschaftsministerium,PSt Thomas Bareiß (IPCEI Wasserstoff)
Steffen Kampeter,03.03.2020,Bildungsministerium,PSt Michael Meister (Mitgliedschaft des BDA in der Gesell- schaft zum Studium strukturpolitischer Fragen e.V.)
Ralf Brauksiepe,03.03.2020,Wirtschaftsministerium,PSt Thomas Bareiß (Abendessen mit stellv. Premierminister und Außenminister von Katar)
Steffen Kampeter,02.12.2019,Bundeskanzleramt,BK’in Angela Merkel; BM Helge Braun (Gespräch mit Mitgliedern des gemeinsamen Präsidiums von BDA und BDI)
Eckart von Klaeden,02.11.2020,"Finanzministerium, Wirtschaftsministerium","BM Olaf Scholz, BM Peter Altmaier (Transformation Automobilindustrie)"
Hildegard Müller,02.11.2020,"Finanzministerium, Wirtschaftsministerium","BM OlafScholz, BM PeterAltmaier (Transformation Automobilindustrie)"
Hildegard Müller,02.11.2020,Verkehrsministerium,BM Andreas Scheuer und zahlreiche weitere Teilnehmer (Transformation der Autoindustrie)
Eckart von Klaeden,02.11.2020,Wirtschaftsministerium,BM Peter Altmaier (Konzertierte Aktion Mobilität)
Hildegard Müller,02.11.2020,Wirtschaftsministerium,BM Peter Altmaier (Konzertierte Aktion Mobilität)
Eckart von Klaeden,02.11.2017,Bundeskanzleramt,StM Helge Braun (Automobilthemen)
Katherina Reiche,02.07.2021,Bundeskanzleramt,BM Helge Braun (Nationaler Wasserstoffrat)
Ronald Pofalla,02.07.2020,Finanzministerium,St Werner Gatzer (Einzelwagenverkehr)
Maria Böhmer,02.07.2019,Ernährungs- und Landwirtschaftsministerium,BM’in Julia Klöckner (Sommerfest der Landesgruppe)
Eckart von Klaeden,02.06.2021,Wirtschaftsministerium,BM Peter Altmaier (Austausch über aktuelle wirtschaftspolitische Entwicklungen auf Einladung von Prof. Dr. Norbert Lammert)
Katherina Reiche,02.06.2021,Wirtschaftsministerium,BM Peter Altmaier (Austausch über aktuelle wirtschaftspolitische Entwicklungen auf Einladung von Norbert Lammert)
Steffen Kampeter,02.05.2018,Bundeskanzleramt,StM’n Annette Widmann-Mauz (Arbeitsmarktchancen von Migrantinnen und Migranten)
Eckart von Klaeden,02.04.2019,Entwicklungshilfeministerium,"PSt Norbert Barthle (Lieferketten, E-Fuels, Allianz für Klima und Entwicklung)"
Hildegard Müller,02.03.2021,Wirtschaftsministerium,BM Peter Altmaier (KI Kompetenz aus Deutschland für Autonomes Fahren)
Eckart von Klaeden,02.-03.04.2019,Wirtschaftsministerium,BM Peter Altmaier (Reise in die Russische Föderation)
Ronald Pofalla,01.11.2019,"Finanzministerium, Verkehrsministerium","St Werner Gatzer, St Michael Güntner (Mittelverwendung Eigenkapitalerhöhung 2020-2030)"
Eckart von Klaeden,01.10.2018,Wirtschaftsministerium,St Ulrich Nußbaum
Daniel Bahr,01.07.2020,Gesundheitsministerium,BM Jens Spahn (Rede mit anschließender Diskussion beim Krankenversicherungsforum VK)
Ronald Pofalla,01.07.2020,Verkehrsministerium,St Michael Güntner (BHO-Anträge allgemein)
Ronald Pofalla,01.07.2020,Verkehrsministerium,"BM Andreas Scheuer, PSt Enak Ferlemann, St’in Tamara Zieschang, St Michael Güntner (Digitalisierung Schiene)"
Ronald Pofalla,01.07.2019,Finanzministerium/Verkehrsministerium,"St Werner Gatzer, St Gerhard Schulz (LufV)"
Steffen Kampeter,01.04.2019,Bildungsministerium,St Christian Luft (BBiG-Novelle)
Hildegard Müller,01.03.2020,Verkehrsministerium,PSt Enak Ferlemann (Klausurtagung AG Verkehr)
Maria Böhmer,01.02.2020,Auswärtiges Amt,StM‘in Michelle Müntefering (Festakt Welterbe Augsburger Wasser management-System)
Brigitte Zypries,-,Umweltministerium,BM’in Svenja Schulze
Daniel Bahr,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Dirk Niebel,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Eckart von Klaeden,-,Umweltministerium,PSt’in Rita Schwarzelühr-Sutter (Gespräch mit der Landesgruppe Baden-Württemberg der SPD- Bundestagsfraktion)
Jan Mücke,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Johanna Wanka,-,Umweltministerium,BM’in Svenja Schulze
Maria Böhmer,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Ole Schröder,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Steffen Kampeter,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Ulrike Flach,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Uwe Beckmeyer,-,Umweltministerium,BM’in Barbara Hendricks BM’in Svenja Schulze
Brigitte Zypries,-,Wirtschaftsministerium,St’n Claudia Dörr-Voß (Telefonat zum Thema Frauennetzwerk)
Christian Hirte,-,Wirtschaftsministerium,PSt Marco Wanderwitz (Vielzahl von Kontakten als Amtsnachfolger und durch die gemeinsame BT-Fraktion; im Einzelnen nicht erfasst)
Steffen Kampeter, 22.02.2021,Arbeitsministerium,St Björn Böhning (diverse Themen der Arbeits- und Sozialpolitik)
Steffen Kampeter, 12.11.2020,Arbeitsministerium,St Björn Böhning (Lieferkettensorgfaltspflichtengesetz)
Steffen Kampeter, 09.03.2021,Arbeitsministerium,St Björn Böhning (diverse Themen der Arbeits- und Sozialpolitik)
Ole Schröder, 04.02.2020,Finanzministerium,St Rolf Bösinger (Kampfmittelbeseitigung auf Helgoland)
Brigitte Zypries,September 2018,Wirtschaftsministerium,St’in Claudia Dörr-Voß (Rx-Medikamente)
Stefan Müller,seit dem 20.11.2018,Verkehrsministerium,St Guido Beermann (regelmäßige Treffen im Rahmen der AR-Sitzungen der DB AG)
Steffen Kampeter,seit 19.03.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Regelmäßige Telefonschaltkonferenzen mit Verbänden zu Auswirkungen Corona)
Ronald Pofalla,Regelmäßiger Austausch,Verkehrsministerium,St’in Tamara Zieschang steht als Mitglied des Aufsichtsrates der Deutschen Bahn AG im Vorfeld und während Gremiensitzungen im regelmäßigem Austausch mit Herrn Ronald Pofalla.
Christian Hirte,Regelmäßiger Aus- tausch,Innenministerium,PSt Volkmar Vogel (Im Rahmen der Zuständigkeiten eines Pst im parlamentarischen Bereich Sitzungen des Bauausschuss und der zugehörigen Arbeitsgruppe)
Ronald Pofalla,Regelmäßiger Aus- tausch,Verkehrsministerium,"Im Rahmen der Ressortzuständigkeit des Verkehrsministerium hatten BM Andreas Scheuer, Beauftragter der Bundesregierung für den Schienenverkehr PSt Enak Ferlemann, PSt Steffen Bilger sowie St Michael Güntner und St’in Tamara Zieschang – letztere in ihrer Funktion als Mitglied des Aufsichtsrates der Deutsche Bahn AG (DB AG) im Vorfeld und während Gremiensitzung -  zahlreiche dienstliche Kontakte mit dem VorstandInfrastruktur der DeutschenBahn AG, Ronald Pofalla, zu diversen Themen mit Bezug zu Angelegenheiten der DB AG."
Ronald Pofalla,regelmäßige Treffen und Gespräche,Verkehrsministerium,BM Andreas Scheuer; St Guido Beermann; St Michael Güntner; PSt Steffen Bilger; PSt Enak Ferlemann
Steffen Kampeter,regelmäßig zwischen 31.10.2015 und 07.10.2019,Bundeskanzleramt,"BM Peter Altmaier (als ChefBK bis 14.3.2018), BM Helge Braun, regelmäßiger Austausch mit Herrn Kampeter in seiner Funktion als HGF des BDA"
Steffen Kampeter,Regelmäßig zwischen 07.10.2019 und 03.08.2020,Bundeskanzleramt,"BM Helge Braun, regelmäßiger Austausch mit Herrn Kampeter in seiner Funktion als HGF des BDA"
Steffen Kampeter,Regelmäßig seit 04.04.2018,Arbeitsministerium,"BM Hubertus Heil, St Björn Böhning"
Steffen Kampeter,Regelmäßig 06.06.2018 bis 31.01.2019,Arbeitsministerium,"St’n Leonie Gebers (Kommission „Wachstum, Strukturwandel und Beschäftigung“)"
Ronald Pofalla,Regelmäßig 06.06.2018 bis 31.01.2019,Arbeitsministerium,"St’n Leonie Gebers (Kommission „Wachstum, Strukturwandel und Beschäftigung“)"
Katherina Reiche,Nov. 2017,Bundeskanzleramt,BM Peter Altmaier (Energiepolitik)
Ole Schröder,Mitte Juni 2020,Bundeskanzleramt,StM Hendrik Hoppenstedt (Gesetzesentwurf zur weiteren Verkürzung des Restschuldbefreiungsverfahrens)
Maria Böhmer,Diverse Termine 2018/2019,Auswärtiges Amt,StM’in Michelle Müntefering (Deutsche UNESCO Kommission)
Ole Schröder,April 2020,Wirtschaftsministerium,PSt Marco Wanderwitz (Restschuldverfahren)